E and M values from pickles/*.pickle
For inp values for each row see inp_readme.csv

Temp,n_samples,E_mean,E_std,M_mean,M_std,E_stdstd,M_stdstd
2.0,10000,-1.7480869998216628,0.08201945030846552,0.9118254993498325,0.043221059243311884,0.005256374794123873,0.0051898437751408165
2.1,10000,-1.6546660008072853,0.10060839122571433,0.8650594998002052,0.06255133046162739,0.006868547451421413,0.005834389522725538
2.2,10000,-1.5647029998540878,0.12229248544266602,0.8126620000123977,0.0993654808192933,0.00816894728711516,0.012475932363652038
2.3,10000,-1.374130000281334,0.1441467414622625,-0.6324220000618137,0.19156405987753472,0.009153886771006743,0.01763293939681464
2.4,10000,-1.2444999996244908,0.14577163778361746,-0.4338865000072867,0.30760950507876106,0.009098908442222959,0.019800857798444083
2.5,10000,-1.1276599986851215,0.13390558157754393,0.2957340000553988,0.2799873144758209,0.010343877922419049,0.02139848163713217
2.6,10000,-1.0220809981763364,0.10874327292774139,-0.14211299988236278,0.2640409912389875,0.00750244689973259,0.015692700216573926
2.7,10000,-0.9460909985542297,0.09953014318926276,0.002461500102467835,0.22360111444035874,0.00747503214391675,0.01542508962833426
2.8,10000,-0.8911509991049766,0.10224883875536037,0.004276999995671213,0.2037523793025846,0.007601072650169113,0.01298282868596578
2.9,10000,-0.8564169991195202,0.09857186222954112,0.014625499998033047,0.18007014505852195,0.0071306105816847905,0.012739136808842134
3.0,10000,-0.7995879996210337,0.0938406636398346,-0.030501000007335098,0.1623985496618845,0.006476910723056743,0.01211709656344365
3.1,10000,-0.7655799998670817,0.08853972820350794,-0.008299499977845699,0.14927592157798683,0.006682016494443988,0.010272214201427536
3.2,10000,-0.7342010002195836,0.09082654616566699,-0.00602800003644079,0.14345521308248976,0.006626225590214496,0.009645998622639134
3.3,10000,-0.7019290003448725,0.08803390779110278,-0.0016070000014267861,0.13059133781340596,0.005884069809789373,0.00808519837528598
3.4,10000,-0.6718770001471043,0.08652633684569706,0.010220000025536864,0.12537604063465363,0.006133793614196553,0.007704729862274689
3.5,10000,-0.6521539999067784,0.08676601011298012,0.0065355000050738455,0.1210459404756922,0.006816450286386074,0.009514285333139465
3.6,10000,-0.624842999663949,0.08812704248385969,-0.004971000007353723,0.11081342046568378,0.006500325830459996,0.008303218021153138
3.7,10000,-0.6058959989994764,0.0850237464188127,0.002857500010821968,0.10828761323322365,0.006206904317989527,0.007070083885056242
3.8,10000,-0.5828319986075163,0.08650953728519348,-0.008508500023465603,0.11124204646234791,0.006440442834293247,0.008581731210556793
3.9,10000,-0.5656169984325766,0.08350508709882273,0.014349000056739896,0.1009148462531358,0.006009786419433119,0.006858431614712301
4.0,10000,-0.5490949979931116,0.08230037167517308,0.0018800000375136733,0.10129462278719953,0.004615343707511841,0.007895658138881668
4.1,10000,-0.5307779977425933,0.081060562773112,-0.006725499959848821,0.09825889350664466,0.005710142500282748,0.006370260253167452
4.2,10000,-0.515151997552812,0.08259659192671404,0.0047410000020638105,0.09571728124186105,0.005623952397738712,0.005821169316020935
4.3,10000,-0.5009819975316524,0.08129191640928386,0.0011359999948181213,0.09175698614871207,0.005497375195198722,0.005974118788471774
