Spin Correlations values from pickles/*.pickle
For inp values for each row see inp_readme.csv

Temp,n_samples,mean_d1,mean_d2,mean_d3,mean_d4,mean_d5,mean_d6,mean_d7,mean_d8,mean_d9,std_d1,std_d2,std_d3,std_d4,std_d5,std_d6,std_d7,std_d8,std_d9
2.0,500.0,0.013089502957900977,0.004849502930563162,0.0008995029183948518,-0.00040049705489598607,-0.0013704970501037365,-0.0019904970513604427,-0.0021304970573115937,-0.002360497060601496,0.0,0.028729880501718603,0.018335277920577327,0.011172891396433095,0.007494310375440343,0.006782795592462165,0.007071845142186842,0.008417247262066717,0.008039100381029987,0.0
2.1,500.0,0.02875210300877049,0.011452102888670624,0.0036721029465505736,-0.0007778970677952941,-0.003107897058668321,-0.004077897032620982,-0.004447897041348049,-0.0045378970608976775,0.0,0.041253387320425994,0.02605642431857136,0.015984902082085927,0.012469977267024755,0.010246167077021143,0.00983718596311467,0.01228168068558315,0.015455627080019766,0.0
2.2,500.0,0.0457097515203629,0.020069751597076524,0.007609751575870313,0.00036975166455434306,-0.0028702483613492298,-0.005510248354883529,-0.00715024833682925,-0.007960248367905159,0.0,0.06464605309232845,0.044192619380337264,0.03032086190625411,0.021181684457274072,0.016667023988426132,0.014969424891548328,0.016889048869620338,0.0203524922736373,0.0
2.3,500.0,0.13060305038406514,0.06957304993975034,0.03240305010771205,0.009253049959494388,-0.005806950064001139,-0.015176950034183097,-0.021096950006666594,-0.026116950048219876,0.0,0.11041099813330864,0.08099551665724147,0.05583225721947675,0.0382911431493333,0.03228969502743408,0.0371425063533294,0.04531682706010416,0.051792529062411406,0.0
2.4,500.0,0.18983605005219578,0.10694604986998137,0.055706049901543306,0.021316049716933776,-0.0005239501081523485,-0.015963950138058864,-0.024373950046075624,-0.02964395019304764,0.0,0.1196433664042972,0.09071654698345495,0.06866307566757492,0.05156679154756914,0.04232024389068762,0.043428170226788534,0.050838437600963696,0.060410412265338304,0.0
2.5,500.0,0.221418199142674,0.1292681995416642,0.07163819950458011,0.03492819963288493,0.009168199674166244,-0.008911800367797987,-0.01890180035056619,-0.023391800294952556,0.0,0.10313073264998114,0.08561439550139623,0.0707369492373609,0.05591173892368979,0.044979687584016256,0.0400355398947082,0.043944852781062804,0.053149024208607516,0.0
2.6,500.0,0.2262034001983702,0.12489340025931597,0.06474339999281802,0.028533400092910305,0.002893400004686555,-0.013506599926186027,-0.025966599933206453,-0.03380659996014947,0.0,0.07668740625173476,0.07120336774299224,0.06372890665075279,0.05526341473640072,0.04953198641109534,0.044672169120194505,0.049259959514618666,0.060614034816571835,0.0
2.7,500.0,0.21272595027834176,0.10962595036495623,0.05101595014185659,0.01609595031881705,-0.005484049667400978,-0.017924049677954756,-0.02532404962415283,-0.02980404987706439,0.0,0.06909732759400436,0.06395249097314107,0.05726010256413814,0.05139078141458581,0.049702114999284036,0.0507182558873678,0.05557796818122194,0.0611985187751859,0.0
2.8,500.0,0.1915571999400854,0.09128720018859894,0.04020720023065048,0.008787200273189228,-0.011322799706741498,-0.02100279965679918,-0.02779279969567142,-0.03462279967280847,0.0,0.06373225366234843,0.05909379998889257,0.053654274517915615,0.04827452985993509,0.04832020602845331,0.0483452220087365,0.05424228846681882,0.06210256267977062,0.0
2.9,500.0,0.18082875001430512,0.08654875003962255,0.03618874998628235,0.008278750034997501,-0.009651249852031469,-0.019701249792105954,-0.024641249845815765,-0.024931249884456046,0.0,0.06359020438870498,0.06031699019759868,0.053987677059665805,0.05127759974501182,0.04668433159774516,0.04707884545062437,0.05160052063983964,0.059350827201610785,0.0
3.0,500.0,0.15962474990542977,0.06605475005295011,0.02170475015836884,0.003914750092306349,-0.008165249886273523,-0.016185249953865423,-0.020445249878404865,-0.022355249943459058,0.0,0.05858222401702314,0.05625539379317339,0.05265640161342604,0.04791024987291024,0.04644832070656893,0.045573577822351274,0.04826967054344593,0.05638562896641441,0.0
3.1,500.0,0.14570020011067392,0.05737020003217738,0.015650200044634403,-0.005169799890427385,-0.013859799907568231,-0.018549799855707535,-0.021109799926287812,-0.023849799883763335,0.0,0.05207524783567471,0.047851999400909354,0.04548117676397559,0.043420598518061904,0.04336608306385621,0.0470368165565788,0.049047191973936415,0.05445635196844158,0.0
